"Species","Scenario","Subpopulation #","Subpopulation","Correct Productivity Weighting?","Productivity Weighting","Correct Capacity Weighting?","Capacity Weighting","Diversity","Survival","Eggs per Spawner","Productivity","Capacity","Equilibrium Abundance","Juvenile-to-Adult Survival","Juvenile-to-Spawner Survival","Juvenile Productivity","Juvenile Capacity","Juvenile Abundance","Juvenile-to-Adult Productivity","Juvenile-to-Adult Capacity","Juvenile-to-Adult Abundance","...3"
"Coho","with Project 10",1010,"Humptulips SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.922562387445331,0.00361854432479753,1500,5.42781648719629,12779.8237305511,10425.3182382049,0.125311473204562,0.106272528964189,48.0747515921018,121974.077061421,98099.8414154414,6.06214775638806,15261.5737067626,12293.0356489029,NA
"Coho","with Project 10",1030,"Hoquiam SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.851580135440181,0.00475571910368344,1500,7.13357865552515,4252.93995779184,3656.75392506368,0.123898515146524,0.103229260720391,63.9200788989296,41751.0468037484,35423.6182604119,8.0171360222556,5161.67618510612,4388.93370358235,NA
"Coho","with Project 10",1040,"Wishkah SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.861036878674506,0.00432786454553979,1500,6.49179681830968,6927.90285450162,5860.72483762932,0.125237754153787,0.109331630334466,54.8830232624745,64325.0649767225,53605.0255511628,6.90960644009676,8047.49981912616,6713.37301138397,NA
"Coho","with Project 10",1050,"Johns SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.702357563850688,0.00388532470146544,1500,5.82798705219816,2854.82495762518,2364.97744560155,0.123437854620013,0.112726683043791,49.5094064455241,25559.4483628222,20979.7483767249,6.12435045760397,3153.5404944957,2589.69513009064,NA
"Coho","with Project 10",1060,"Elk River SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.974789915966387,0.00402802805156083,1500,6.04204207734124,1166.82972337015,973.711286187139,0.123006222217672,0.109767848008985,52.3574076904957,10739.2628668773,8870.6420308744,6.44261270259353,1320.89570677196,1091.14416486315,NA
"Coho","with Project 10",1070,"Andrews SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",1,0.00482424770558349,1500,7.23637155837524,297.493704373785,256.382810333322,0.121890843887988,0.112359844776837,62.8701539638553,2658.08247765517,2281.80103703894,7.6565913243932,324.042710036166,278.130653989163,NA
"Coho","with Project 10",1080,"Chenois Creek SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.926829268292683,0.00199212039480402,1500,2.98818059220603,129.442409922797,86.1242750482122,0.12277067055363,0.110277289647381,25.9369334524922,1200.80307447407,780.979250792258,3.18448948038646,147.418551821188,95.8813463082375,NA
"Coho","with Project 10",1100,"Newskah Creek SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.953488372093023,0.00555015405155961,1500,8.3252310773394,378.667727096061,333.1833767425,0.123907019765289,0.117859849670056,69.4456627190634,3220.40447841513,2826.94554316194,8.5989522320702,399.068526674879,350.278397291961,NA
"Coho","with Project 10",1110,"Campbell Slough SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.882352941176471,0.00156804653556304,1500,2.35206980334455,5.55036983545696,3.19058874921346,0.120126059888628,0.0379358345053554,61.7071338657142,146.827042436093,84.1048784299985,7.41686912867052,17.6302479602901,10.1031876632078,NA
"Coho","with Project 10",1200,"Lower Chehalis: Satsop to Porter SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.424242424242424,0.00127007069858855,1500,1.90510604788282,888.818030483685,422.27285759347,0.12558681735147,0.112024030626641,16.8303523486639,8026.84619378489,3769.48459389791,2.12697989920334,1000.99169613084,473.397573203036,NA
